,Property Title,Location,Rent Price,Deposit Price,Built-up Area,Image URL,Property Type,Furnishing,Preferred Tenants,Availability,Latitude,Longitude
0,2 BHK Flat  In Malpani Vivanta for Rent  In Baner,"Baner Rd , Near D-Mart Baner","₹ 28,000No Extra Maintenance","₹1,00,000",Rent (Non-Negotiable),https://images.nobroker.in/images/8a9f90848befa75d018bf012e08c1b02/8a9f90848befa75d018bf012e08c1b02_99958_739439_medium.jpg,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.566674,73.775346
1,2 BHK Flat  In Vanshri Apartments for Rent  In Bavdhan,"Vanshri Apartments,, Prabhat Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune","₹ 22,000No Extra Maintenance","₹75,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f94827ace5073017acea8d61a2b6c/8a9f94827ace5073017acea8d61a2b6c_93045_21617_medium.jpg,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4642771,73.8198096
2,3 BHK Apartment  In Ganga Legend for Rent  In Bavdhan,"Ganga LegendÂ  DSK Ranwara Internal Rd, Ram Nagar, Bavdhan","₹ 45,000 +₹ 4,900Maintenance","₹1,40,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5210015,73.7755672
3,"3 BHK Apartment  In Godrej Hillside, Mahalunge for Rent  In Mahalunge","Godrej Hillside, MahalungeÂ  Baner, Pune, Pune","₹ 34,000No Extra Maintenance","₹90,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5370249,73.8857919
4,1 BHK Flat  In Shriramnagar for Rent  In Aundh,"Shriramnagar, Sri Ram Nagar Society, Aundh, Pune, Maharashtra 411007, India","₹ 22,500No Extra Maintenance","₹60,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
5,2 BHK Apartment  In Chaitraban Residency for Rent  In Aundh,"Chaitraban ResidencyÂ  Sarjaa Rd, Goodwill Society, Sanewadi, Aundh, Pune, Maharashtra 411007, India","₹ 21,000No Extra Maintenance","₹50,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
6,1 BHK Flat  In Skyi Songbirds for Rent  In Bavdhan,"Skyi Songbirds Internal Rd, Bhugaon, Bavdhan, Pune, Maharashtra 411023, India","₹ 17,500 +₹ 1,500Maintenance","₹35,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
7,3 BHK Apartment  In Maitreya Apartment  for Rent  In Baner,"Maitreya Apartment Â  Prathamesh Park Rd, Prathamesh Park, Baner, Pune","₹ 70,000 +₹ 4,000Maintenance","₹4,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5620094,73.8042613
8,1 BHK Flat  In Sai Apartment for Rent  In Aundh,"Darshan Park Society Rd, Shambhu Vihar Society, Baner Chs, Aundh, Pune, Maharashtra 411007","₹ 12,000 +₹ 500Maintenance","₹20,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5050356,73.8394271
9,"3 BHK Flat  In Harsh Vihar, Aundh for Rent  In Harsh Vihar, Nagras Road, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra, India","wireless colony, new dp road","₹ 30,000 +₹ 2,000Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.594686,73.769122
10,2 BHK Flat  In Sant Apartment for Rent  In Aundh,"Near Parihar chowk traffic Signal,Sanghvi Nagar,  Aundh Gaon, Aundh, Pune, Maharashtra 411007, India","₹ 28,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5644173,73.9138634
11,1 BHK Flat  In Ramchandra Smruti for Rent  In Bavdhan,"Bavdhan Rd, Patil Nagar, Bavdhan, Pune, Maharashtra 411021, India","₹ 9,000No Extra Maintenance","₹15,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5164341,73.7817975
12,2 BHK Flat  In Sakal Nagar for Rent  In Aundh,Baner Rd Near SIMACES international interdisciplinary learning centref,"₹ 21,000No Extra Maintenance","₹66,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.566674,73.775346
13,1 BHK Flat  In Jaychandra Co Op Housing Society for Rent  In Bavdhan,"aychandra Co-Operative Housing Society, Sagar Co-Operative Housing Society, Bavdhan, Pune, Maharashtra 411021, India","₹ 20,000No Extra Maintenance","₹55,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
14,3 BHK Flat  In Harmony Society for Rent  In Aundh,"New DP Road, Near Nandan Festiva","₹ 41,000No Extra Maintenance","₹1,50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.594686,73.769122
15,3 BHK Flat  In Nagras Road Aundh for Rent  In Nagras Road,nagras road,"₹ 40,000No Extra Maintenance","₹1,20,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5404042,73.8851792
16,3 BHK Flat  In Rachana Myworld Apartments for Rent  In Baner,"Rachana Myworld Apartments, Balewadi High St, Baner, Pune, Maharashtra 411045, India","₹ 55,000No Extra Maintenance","₹2,00,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5531713,73.7947985
17,1 BHK House  for Rent  In Aundh,"Independent House, DP road near McDonald's","₹ 18,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5035527,73.7969694
18,1 BHK Flat  In Dsk Vidyanagari for Rent  In Baner,"Behind Pashankar Auto, Pashan Sus Road, Baner, Pune-411021, Maharashtra, INDIA.","₹ 20,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
19,2 BHK Apartment  In Swami Nakshatra Green Aparajita Hsg Society for Rent  In Bavdhan,"Swami Nakshatra Green Aparajita HSG SocietyÂ  Paud Rd, Bavdhan, Pune, Maharashtra","₹ 23,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5082554,73.8222527
20,"3 BHK Apartment  In Swadesh Greenhills, Baner for Rent  In Baner","Swadesh Greenhills, BanerÂ  Mahalunge, Pune, Pune","₹ 35,000No Extra Maintenance","₹60,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
21,2 BHK Apartment  In Kalashree Md Rivera for Rent  In Bavdhan,Kalashree MD riveraÂ  Skyi Songbirds Internal Road,"₹ 20,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
22,3 BHK Apartment  In Kiran Shubharambh for Rent  In Baner,"Kiran ShubharambhÂ  HQ8J+3QG, Baner, Pune, Maharashtra 411045","₹ 36,500No Extra Maintenance","₹1,20,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
23,2 BHK Flat  In Swami Apartments for Rent  In Baner,"Balewadi Phata, Near Manohar Paradise","₹ 22,000 +₹ 1,250Maintenance","₹60,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
24,3 BHK Apartment  In Anp Atlantis for Rent  In Balewadi,"ANP AtlantisÂ  Balewadi, Pune, Pune","₹ 65,000No Extra Maintenance","₹2,00,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
25,3 BHK Flat  In Laxmi Narayan Nagar  for Rent  In Erandwane,patwardhan baug,"₹ 40,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),https://images.nobroker.in/images/8a9fb1838bea88a9018beadd0d7112b0/8a9fb1838bea88a9018beadd0d7112b0_33397_182354_medium.jpg,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4975512,73.8324217
26,1 BHK Flat  In Indira Chs  for Rent  In Erandwane,Karve Rd near SNDT Women,"₹ 19,000No Extra Maintenance","₹60,000",Rent (Negotiable),https://images.nobroker.in/images/8a9f92827a3d1397017a3d1e9b330475/8a9f92827a3d1397017a3d1e9b330475_61853_374504_medium.jpg,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.502309,73.8153637
27,"1 BHK Flat  In Swaroop Apartments, Nal Stop, Erandawane for Rent  In Nalstop Chowk",Nalstop.Chowk,"₹ 27,000No Extra Maintenance","₹50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
28,"3 BHK Flat  In Shiv Residency for Rent  In Deccan Gymkhana,","Prabhat Rd,,near  Hotel Laxman","₹ 70,000No Extra Maintenance","₹7,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5144718,73.8332562
29,2 BHK Flat  In Shakuntal Apartment for Rent  In Erandwane,Law College Rd Near Pastry Corner,"₹ 50,000No Extra Maintenance","₹1,50,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
30,1 BHK Flat  In Shri Krishna Nagar Co Operartive Housing Society for Rent  In Erandwane,"Khilare patil road,  Erandawane Gauthan Near Mantri Hospital","₹ 17,000 +₹ 500Maintenance","₹50,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.6205191,73.9161416
31,1 RK House  for Rent  In Erandwane,"Independent House, Uday Society, near Mahalaxmi Temple","₹ 12,000No Extra Maintenance","₹24,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
32,2 BHK Flat  In Sanjeevani Apartments for Rent  In Deccan Gymkhana,"Sanjeevani Apartments, Lane Number 11, , Erandwane, Pune, Maharashtra 411004, India","₹ 1,00,000No Extra Maintenance","₹1,95,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5759584,73.8930605
33,2 BHK Flat  In Vighnaharta Complex for Rent  In Kothrud,"Near, Flat num 207, Plot num 34, Vighnaharta Co-operating society, Mhatre Bridge, corner, Erandwana Gaothan, Erandwane, Pune, Maharashtra 411004","₹ 13,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4958923,73.8173819
34,1 RK Flat  In Shankar Chhaya Society  for Rent  In Erandwane,khilare patil rd near  Reliance Mall,"₹ 11,000 +₹ 400Maintenance","₹30,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4720454,73.9084359
35,2 BHK Flat  In Bakul Hou. Society Pune for Rent  In Erandwane,"7/16, Anil park, Sweekar hotel Lane,, Pandurang Colony, Erandwane, Pune, Maharashtra","₹ 28,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
36,1 BHK House  for Rent  In Dattawadi Mhasoba Chowk,"Independent House, Dattawadi","₹ 13,000No Extra Maintenance","₹30,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.6330784,73.8416228
37,1 RK Flat  In Mukta Complex for Rent  In Erandwane,"Mukta Complex, Anil Park Society Internal Road, Pandurang Colony, Erandwane, Pune, Maharashtra 411004, India","₹ 10,000 +₹ 1,000Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5219026,73.7734826
38,"1 RK House  for Rent  In Mhatre Bridge, Dattawadi","Independent House, mhatre bridge oppositeshyamsunder society","₹ 12,000No Extra Maintenance","₹25,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5359203,73.9340125
39,1 RK House  for Rent  In Suratwala Housing Pvt. Ltd.,"Independent House, front of suratwala housing business lmt","₹ 15,000No Extra Maintenance","₹25,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.6330784,73.8416228
40,1 RK Flat  In Sri Krishna Kunja Chs for Rent  In Sadashiv Peth,"Shivram Matre Rd, Nr. Alka Talkies, Ganjwe Wadi, near Poona Hospital And Research Centre","₹ 18,000No Extra Maintenance","₹36,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
41,"2 BHK Apartment  In Eden Garden, Viman Nagar for Rent  In Viman Nagar","Eden Garden, Viman NagarÂ  Viman Nagar, Pune - 411014, Maharashtra, INDIA.","₹ 45,000No Extra Maintenance","₹1,00,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5007219,73.9018872
42,1 BHK House  for Rent  In Dattawadi,"Independent House, Mhatre Bridge near Om Departmental Store","₹ 15,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5359203,73.9340125
43,1 RK Flat  In R K Centre for Rent  In Dattawadi,V Kamble path near R.K. Chicken Center,"₹ 2,000No Extra Maintenance",₹1,Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.4419196,73.7860736
44,2 BHK Flat  In Shawarna Apartment for Rent  In Erandwane,"Law College Rd, Near ILS law College ARBITRATION CENTER","₹ 1,00,000No Extra Maintenance","₹5,00,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,,
45,1 BHK Flat  In Rexon Chamb for Rent  In Infinity Library,"LBS road, near poona hospital","₹ 18,000 +₹ 300Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5404042,73.8851792
46,1 BHK Flat  In Desai Niwas for Rent  In Dattavadi,"Bank Of India Colony, Panmala ,Near Chandani Mhasoba Mandir Dattawadi","₹ 16,000No Extra Maintenance","₹30,000",Rent (Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5146312,73.8421219
47,1 BHK Flat  In Apartment for Rent  In  Sadashiv Peth,"Lal Bahadur Shastri Road Tilak chowk, Near  Alka Talkies","₹ 20,000No Extra Maintenance","₹30,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5228434,73.8502636
48,2 BHK Flat  In Pinnacle Kalpataru for Rent  In Erandwane,Erandwane,"₹ 65,000No Extra Maintenance","₹3,25,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5111261,73.8336695
49,1 BHK Flat  In Venutai Housing Society for Rent  In Erandwane,Vakil Nagar near Deenanath Mangeshkar Hospital and Research Centre,"₹ 10,000No Extra Maintenance","₹15,000",Rent (Non-Negotiable),Image URL not found,Property type not found,Furnishing not found,Preferred tenants not found,Availability not found,18.5205425,73.8314424
